Subdate,Variety,SampleID,d15N,Namount,TrayName,SampleWeight,d15ref,time,block,Ndfa
10/7/13,B73,EVO1B-1-1-1,8.56,86.71,EVO-PROJ-1,2.6,5.139456913,T1,1,-66.5545629606877
10/7/13,B73,EVO1B-1-1-2,8.54,74.96,EVO-PROJ-1,2.4,5.139456913,T1,2,-66.1654167855459
10/7/13,B73,EVO1B-1-1-3,8.61,65.43,EVO-PROJ-1,2.1,5.139456913,T1,3,-67.5274283985421
10/7/13,B73,EVO1B-1-2-1,7.51,108.13,EVO-PROJ-1,3.1,5.139456913,T1,1,-46.1243887657435
10/7/13,B73,EVO1B-1-2-2,7.51,119.01,EVO-PROJ-1,3.4,5.139456913,T1,2,-46.1243887657435
10/7/13,B73,EVO1B-1-3-1,10.27,82.19,EVO-PROJ-1,2.8,5.139456913,T1,1,-99.826560935311
10/7/13,B73,EVO1B-1-3-2,11.14,73.75,EVO-PROJ-1,2.7,5.139456913,T1,2,-116.754419553979
10/7/13,B73,EVO1B-1-3-3,11.23,61.19,EVO-PROJ-1,2,5.139456913,T1,3,-118.505577342117
10/7/13,B73,EVO1B-1-4-1,8.59,102.6,EVO-PROJ-1,3,5.139456913,T1,1,-67.1382822234004
10/7/13,B73,EVO1B-1-4-2,8.19,85.35,EVO-PROJ-1,2.5,5.139456913,T1,2,-59.3553587205645
10/8/13,B73,EVO1B-1-5-2,10.54,66.81,EVO-PROJ-2,2,5.139456913,T1,2,-105.080034299725
10/8/13,B73,EVO1B-1-6-1,7.35,104.06,EVO-PROJ-2,2.9,5.139456913,T1,1,-43.0112193646091
10/8/13,B73,EVO1B-1-6-2,7.21,93.57,EVO-PROJ-2,4.3,5.139456913,T1,2,-40.2871961386166
10/8/13,B73,EVO1B-1-6-3,6.96,139.75,EVO-PROJ-2,2.9,5.139456913,T1,3,-35.4228689493442
10/8/13,B73,EVO1B-1-7-1,6.11,131.35,EVO-PROJ-2,3.3,5.139456913,T1,1,-18.884156505818
10/8/13,B73,EVO1B-1-7-2,6.18,135.55,EVO-PROJ-2,3,5.139456913,T1,2,-20.2461681188142
10/8/13,B73,EVO1B-1-7-3,6.72,128.73,EVO-PROJ-2,3.2,5.139456913,T1,3,-30.7531148476427
10/8/13,B73,EVO1B-2-1-1,7.74,111.41,EVO-PROJ-2,3.4,5.139456913,T1,1,-50.5995697798741
10/8/13,B73,EVO1B-2-1-3,8.6,129.78,EVO-PROJ-2,2.8,5.139456913,T1,3,-67.3328553109713
10/8/13,B73,EVO1B-2-2-1,7.49,116.66,EVO-PROJ-2,3.1,5.139456913,T1,1,-45.7352425906017
10/8/13,B73,EVO1B-2-2-2,7.06,131.35,EVO-PROJ-2,3.9,5.139456913,T1,2,-37.3685998250531
10/8/13,B73,EVO1B-2-2-3,7.23,104.06,EVO-PROJ-2,3.4,5.139456913,T1,3,-40.6763423137584
10/8/13,B73,EVO1B-2-3-1,8.42,127.68,EVO-PROJ-2,4.1,5.139456913,T1,1,-63.8305397346951
10/8/13,B73,EVO1B-2-3-2,8.39,99.34,EVO-PROJ-2,2.4,5.139456913,T1,2,-63.2468204719824
10/8/13,B73,EVO1B-2-3-3,8.41,76.78,EVO-PROJ-2,3.3,5.139456913,T1,3,-63.6359666471242
10/8/13,B73,EVO1B-2-4-1,7.75,88.85,EVO-PROJ-2,4.2,5.139456913,T1,1,-50.794142867445
10/8/13,B73,EVO1B-2-4-2,7.66,119.28,EVO-PROJ-2,3.4,5.139456913,T1,2,-49.042985079307
10/8/13,B73,EVO1B-2-4-3,7.79,141.32,EVO-PROJ-2,3,5.139456913,T1,3,-51.5724352177286
10/8/13,B73,EVO1B-2-5-1,7.61,124,EVO-PROJ-2,3.7,5.139456913,T1,1,-48.0701196414525
10/8/13,B73,EVO1B-2-5-2,7.43,109.84,EVO-PROJ-2,3.3,5.139456913,T1,2,-44.5678040651763
10/8/13,B73,EVO1B-2-5-3,7.47,133.45,EVO-PROJ-2,3.7,5.139456913,T1,3,-45.3460964154599
10/8/13,B73,EVO1B-2-6-1,7.41,98.82,EVO-PROJ-2,2.9,5.139456913,T1,1,-44.1786578900345
