sample,group,SNP NAME
5225831012_R02C02,282,GT112
5225831012_R04C02,282,H105W
5225831012_R06C02,282,H91
5225831012_R08C02,282,Hi27
5225831012_R09C02,282,F6
5225831012_R10C02,282,I137TN
5225831012_R11C02,282,F7
5247002090_R01C01,282,IDS28
5247002090_R01C02,282,Mo44
5247002090_R02C01,282,Ki21
5247002090_R02C02,282,N28Ht
5247002090_R03C01,282,IDS69
5247002090_R03C02,282,Mo45
5247002090_R04C01,282,Ki43
5247002090_R04C02,282,NC222
5247002090_R05C01,282,IDS91
5247002090_R05C02,282,Mo46
5247002090_R06C01,282,Ki44
5247002090_R06C02,282,NC230
5247002090_R07C01,282,Il101
5247002090_R07C02,282,Mo47
5247002090_R08C01,282,L578
5247002090_R08C02,282,NC232
5247002090_R09C01,282,Il677a
5247002090_R09C02,282,MoG
5247002090_R10C01,282,MEF156-55-2
5247002090_R10C02,282,NC236
5247002090_R11C01,282,Ki2021
5247002090_R11C02,282,N192
5247002090_R12C01,282,Mo24W
5247002090_R12C02,282,NC238
5247002093_R01C01,282,NC250
5247002093_R01C02,282,NC306
5247002093_R02C01,282,NC296
5247002093_R02C02,282,NC326
5247002093_R03C01,282,NC258
5247002093_R03C02,282,NC310
5247002093_R04C01,282,NC296A
5247002093_R04C02,282,NC328
5247002093_R05C01,282,NC260
5247002093_R05C02,282,NC314
5247002093_R06C01,282,NC298
5247002093_R06C02,282,NC336
5247002093_R07C01,282,NC262
5247002093_R07C02,282,NC318
5247002093_R08C01,282,NC300
5247002093_R08C02,282,NC338
5247002093_R09C01,282,NC264
5247002093_R09C02,282,NC320
5247002093_R10C01,282,NC302
5247002093_R10C02,282,NC340
5247002093_R11C01,282,NC294
5247002093_R11C02,282,NC324
5247002093_R12C01,282,NC304
5247002093_R12C02,282,NC342
5247002095_R01C01,282,NC344
5247002095_R01C02,282,Oh603
5247002095_R02C01,282,NC360
5247002095_R02C02,282,SC213R
5247002095_R03C01,282,NC346
5247002095_R03C02,282,Pa875
5247002095_R04C01,282,NC362
5247002095_R04C02,282,SC357
5247002095_R05C01,282,NC348
5247002095_R05C02,282,Pa880
5247002095_R06C01,282,NC364
5247002095_R06C02,282,SC55
5247002095_R07C01,282,NC352
5247002095_R07C02,282,R109B
5247002095_R08C01,282,NC366
5247002095_R08C02,282,SD40
5247002095_R09C01,282,NC354
5247002095_R09C02,282,R229
5247002095_R10C01,282,NC368
5247002095_R10C02,282,SD44
5247002095_R11C01,282,NC356
5247002095_R11C02,282,SA24
5247002095_R12C01,282,Oh43E
5247002095_R12C02,282,Sg1533
5247002099_R01C01,282,Sg18
5247002099_R01C02,282,Va14
5247002099_R02C01,282,Tzi16
5247002099_R03C01,282,T232
5247002099_R03C02,282,Va22
5247002099_R04C01,282,Tzi18
5247002099_R05C01,282,T234
5247002099_R05C02,282,Va99
5247002099_R06C01,282,Tzi25
5247002099_R07C01,282,Tx601
5247002099_R07C02,282,VaW6
5247002099_R08C01,282,Tzi9
5247002099_R09C01,282,Tzi10
5247002099_R10C01,282,U267Y
5247002099_R11C01,282,Tzi11
5247002099_R12C01,282,VA102
5247002099_R12C02,282,W117Ht
5225831002_R01C01,282,4226
5225831002_R01C02,282,33-16
5225831002_R02C01,282,38-11
5225831002_R02C02,282,A188
5225831002_R03C01,282,A554
5225831002_R03C02,282,A556
5225831002_R04C01,282,A6
5225831002_R04C02,282,A619
