GBS.name..Sample.Flowcell.Lane.Well.,Additional.file.1.xlsx..Romay.et.al..2013.,Inbred.name,Source,Accession,Seed.lot,Notes
Ames10244:81FE8ABXX:7:H5,Ab26,Ab26,NCRPIS,AMES 10244,90ncab01 SD,
Ames10246:D0D0BACXX:3:D11,Ab608A,Ab608A,NCRPIS,AMES 10246,11991,
Ames10247:81N4HABXX:3:C4,GA152,GA152,NCRPIS,AMES 10247,90ncab01 SD,
Ames10248:81FE7ABXX:7:E5,GA209,GA209,NCRPIS,AMES 10248,09ncai01 SD,
Ames10249:81N4HABXX:3:A11,GA212,GA212,NCRPIS,AMES 10249,96ncab01 SD,
Ames10250:81N4HABXX:2:D8,GA215,GA215,NCRPIS,AMES 10250,06ncei01 SD,
Ames10251:81N4HABXX:2:D5,GA219,GA219,NCRPIS,AMES 10251,90ncab01 SD,
Ames10252:81N4HABXX:3:H10,GA222,GA222,NCRPIS,AMES 10252,90ncab01 SD,
Ames10253:81FE7ABXX:7:D2,GE19,GE19,NCRPIS,AMES 10253,90ncab01 SD,
Ames10254:81N4HABXX:3:E9,GE54,GE54,NCRPIS,AMES 10254,07ncei01 SD,
Ames10255:81N4HABXX:4:A3,GE72,GE72,NCRPIS,AMES 10255,90ncab01 SD,
Ames10256:81N4HABXX:2:G10,GE129,GE129,NCRPIS,AMES 10256,91ncai01 SD,
Ames10256:D0D0BACXX:4:A5,GE129,GE129,NCRPIS,AMES 10256,12833,
Ames10257:81N4HABXX:3:D2,GE281,GE281,NCRPIS,AMES 10257,90ncab01 SD,
Ames10258:81N4HABXX:3:C2,GE293,GE293,NCRPIS,AMES 10258,90ncab01 SD,
Ames10259:81N4HABXX:3:F12,GE311,GE311,NCRPIS,AMES 10259,07ncei01 SD,
Ames10260:81FE7ABXX:2:H4,GE317,GE317,NCRPIS,AMES 10260,96ncab01 SD,
Ames10261:81N4HABXX:2:H9,GE335,GE335,NCRPIS,AMES 10261,90ncab01 SD,
Ames10262:81N4HABXX:2:C8,GT150,GT150,NCRPIS,AMES 10262,90ncab01 SD,
Ames10263:81FE7ABXX:1:A9,L90,L 90,NCRPIS,AMES 10263,90ncab01 SD,
Ames10264:81FE7ABXX:3:C6,L605,L 605,NCRPIS,AMES 10264,90ncab01 SD,
Ames10265:81FENABXX:5:G6,L678,L 678,NCRPIS,AMES 10265,90ncab01 SD,
Ames10266:D0D0BACXX:4:D3,L690,L 690,NCRPIS,AMES 10266,12872,
Ames10267:81FE7ABXX:6:A9,SC15,SC15,NCRPIS,AMES 10267,90ncab01 SD,
Ames10268:D0D0BACXX:4:G6,SC16,SC16,NCRPIS,AMES 10268,12894,
Ames10269:81N4HABXX:3:G7,SC44,SC44,NCRPIS,AMES 10269,91ncai01 SD,
Ames10271:81FE7ABXX:6:H9,SC84E,SC84E,NCRPIS,AMES 10271,91ncai01 SD,
Ames10272:81N4HABXX:3:F10,SC90,SC90,NCRPIS,AMES 10272,91ncai01 SD,
Ames10273:81FE7ABXX:7:C11,SC102,SC102,NCRPIS,AMES 10273,96ncab01 SD,
Ames10274:81N4HABXX:3:E3,SC144,SC144,NCRPIS,AMES 10274,91ncai01 SD,
Ames10274:D0D0BACXX:4:H6,SC144,SC144,NCRPIS,AMES 10274,12895,
