bid,chr,pos,mex
1_33,1,3.3e+17,8.16391304347826
1_38,1,3.8e+17,8.16391304347826
1_66,1,6.6e+17,8.16391304347826
1_68,1,6.8e+17,8.16391304347826
1_76,1,7.6e+17,8.16391304347826
1_98,1,9.8e+17,8.16391304347826
1_99,1,9.9e+17,8.16391304347826
1_100,1,1e+18,8.16391304347826
1_117,1,1.17e+18,7.01672634271099
1_121,1,1.21e+18,6.82675831202046
1_157,1,1.57e+18,6.63376278772378
1_169,1,1.69e+18,6.49872122762148
1_176,1,1.76e+18,6.49872122762148
1_178,1,1.78e+18,6.49872122762148
1_179,1,1.79e+18,6.18065856777494
1_196,1,1.96e+18,5.20600383631713
1_197,1,1.97e+18,5.20600383631713
1_204,1,2.04e+18,5.20600383631713
1_205,1,2.05e+18,5.20600383631713
1_209,1,2.09e+18,5.20600383631713
1_221,1,2.21e+18,5.20600383631713
1_230,1,2.3e+18,6.11798593350384
1_231,1,2.31e+18,6.04929028132993
1_243,1,2.43e+18,5.88564578005115
1_254,1,2.54e+18,5.80710997442455
1_269,1,2.69e+18,6.01002557544757
1_270,1,2.7e+18,6.11681585677749
1_272,1,2.72e+18,5.80258951406649
1_274,1,2.74e+18,6.59843989769821
1_275,1,2.75e+18,6.59843989769821
1_276,1,2.76e+18,6.59843989769821
1_287,1,2.87e+18,5.70393861892583
1_288,1,2.88e+18,5.82160485933504
1_290,1,2.9e+18,5.9558631713555
1_301,1,3.01e+18,6.00781329923273
1_303,1,3.03e+18,6.01604219948849
1_304,1,3.04e+18,7.07173273657289
1_308,1,3.08e+18,5.21090792838875
1_313,1,3.13e+18,6.17249360613811
1_318,1,3.18e+18,7.23877237851663
1_319,1,3.19e+18,7.23877237851663
1_320,1,3.2e+18,6.19866368286445
1_327,1,3.27e+18,5.77480818414322
1_328,1,3.28e+18,6.03708759590793
1_336,1,3.36e+18,6.03459718670077
1_337,1,3.37e+18,6.03459718670077
1_341,1,3.41e+18,6.03459718670077
1_367,1,3.67e+18,5.99295396419438
1_371,1,3.71e+18,7.02650986481549
1_373,1,3.73e+18,7.02578005115089
1_374,1,3.74e+18,6.15222506393862
1_383,1,3.83e+18,6.02140664961637
1_388,1,3.88e+18,6.10850383631713
1_389,1,3.89e+18,5.95643861892583
1_402,1,4.02e+18,5.91046675191816
1_404,1,4.04e+18,5.91046675191816
1_415,1,4.15e+18,5.94367007672635
1_419,1,4.19e+18,6.07691176470588
1_421,1,4.21e+18,6.19709079283887
1_424,1,4.24e+18,5.97280051150895
1_431,1,4.31e+18,6.39097826086956
1_436,1,4.36e+18,5.92664961636828
1_445,1,4.45e+18,5.83504475703325
1_461,1,4.61e+18,6.39915760869565
1_476,1,4.76e+18,5.58160912190963
1_477,1,4.77e+18,6.05420716112532
1_486,1,4.86e+18,6.36789641943734
1_488,1,4.88e+18,6.36789641943734
1_499,1,4.99e+18,6.36789641943734
1_500,1,5e+18,5.97583120204604
1_509,1,5.09e+18,6.01723145780051
1_533,1,5.33e+18,5.62380434782609
1_534,1,5.34e+18,5.62380434782609
1_544,1,5.44e+18,5.98891943734016
1_554,1,5.54e+18,5.58470588235294
1_565,1,5.65e+18,6.19565856777494
1_573,1,5.73e+18,6.05028772378517
1_574,1,5.74e+18,6.05028772378517
1_575,1,5.75e+18,6.09567135549872
1_581,1,5.81e+18,6.09567135549872
1_583,1,5.83e+18,6.09567135549872
1_595,1,5.95e+18,6.09567135549872
1_620,1,6.2e+18,6.5074104859335
1_622,1,6.22e+18,5.50264919011083
1_623,1,6.23e+18,5.00026854219949
1_624,1,6.24e+18,5.26785805626598
1_625,1,6.25e+18,5.64635549872123
1_641,1,6.41e+18,6.48562659846548
1_642,1,6.42e+18,6.21466112531969
1_643,1,6.43e+18,6.15124040920716
1_654,1,6.54e+18,6.12751918158568
1_655,1,6.55e+18,5.9928037084399
1_678,1,6.78e+18,5.85894501278772
1_684,1,6.84e+18,7.12518542199489
1_685,1,6.85e+18,7.12518542199489
1_692,1,6.92e+18,6.51502941176471
1_705,1,7.05e+18,5.96504475703325
1_708,1,7.08e+18,5.98546035805626
1_709,1,7.09e+18,8.70062659846548
1_716,1,7.16e+18,8.70062659846548
1_719,1,7.19e+18,6.43299232736572
1_734,1,7.34e+18,6.43299232736572
1_735,1,7.35e+18,6.43299232736572
1_746,1,7.46e+18,5.93440537084399
1_756,1,7.56e+18,7.89934143222506
1_757,1,7.57e+18,8.09728900255755
1_769,1,7.69e+18,8.09728900255755
1_770,1,7.7e+18,8.09728900255755
1_772,1,7.72e+18,8.09728900255755
1_782,1,7.82e+18,8.09728900255755
1_786,1,7.86e+18,8.09728900255755
1_787,1,7.87e+18,8.1255242966752
1_797,1,7.97e+18,5.93606138107417
1_800,1,8e+18,5.97106138107417
1_803,1,8.03e+18,8.37438618925831
1_810,1,8.1e+18,8.37438618925831
1_814,1,8.14e+18,8.29380818414322
1_835,1,8.35e+18,7.23859335038363
1_836,1,8.36e+18,7.23859335038363
1_852,1,8.52e+18,6.07466432225064
1_856,1,8.56e+18,6.94676470588235
1_862,1,8.62e+18,6.80030264279625
1_863,1,8.63e+18,6.19550639386189
1_894,1,8.94e+18,6.32584398976982
1_895,1,8.95e+18,6.32584398976982
1_898,1,8.98e+18,6.47258951406649
1_905,1,9.05e+18,6.59010230179028
1_906,1,9.06e+18,6.50535485933503
1_930,1,9.3e+18,7.90097186700767
1_931,1,9.31e+18,7.87701406649616
1_936,1,9.36e+18,6.58990409207162
1_940,1,9.4e+18,5.97157928388746
1_943,1,9.43e+18,6.33450767263428
1_944,1,9.44e+18,6.32950341005968
1_953,1,9.53e+18,6.6849104859335
1_956,1,9.56e+18,6.6849104859335
1_957,1,9.57e+18,6.6849104859335
1_958,1,9.58e+18,7.34959718670077
1_981,1,9.81e+18,5.9442199488491
1_992,1,9.92e+18,5.78547314578005
1_996,1,9.96e+18,6.00147058823529
1_999,1,9.99e+18,5.94042199488491
1_1009,1,1.009e+19,5.97747442455243
1_1010,1,1.01e+19,5.97747442455243
1_1036,1,1.036e+19,7.81450767263428
1_1054,1,1.054e+19,7.32797314578004
1_1055,1,1.055e+19,6.84893861892583
1_1059,1,1.059e+19,5.82503196930946
1_1067,1,1.067e+19,6.42575767263427
1_1074,1,1.074e+19,6.03368286445012
1_1082,1,1.082e+19,6.64860613810741
1_1083,1,1.083e+19,6.79434143222506
1_1084,1,1.084e+19,6.87873401534527
1_1087,1,1.087e+19,6.84320332480819
1_1090,1,1.09e+19,7.18903452685423
1_1091,1,1.091e+19,7.02169757033248
1_1096,1,1.096e+19,6.20151534526854
1_1100,1,1.1e+19,6.41437979539642
1_1111,1,1.111e+19,5.54788363171355
1_1139,1,1.139e+19,6.2490537084399
1_1140,1,1.14e+19,6.2490537084399
1_1147,1,1.147e+19,6.2490537084399
1_1149,1,1.149e+19,6.64158141517476
1_1153,1,1.153e+19,5.87906010230179
1_1176,1,1.176e+19,6.16769181585678
1_1191,1,1.191e+19,6.11886828644501
1_1194,1,1.194e+19,6.11886828644501
1_1195,1,1.195e+19,6.43132352941176
1_1199,1,1.199e+19,8.44682864450127
1_1215,1,1.215e+19,7.24219948849105
1_1217,1,1.217e+19,6.00170716112532
1_1218,1,1.218e+19,6.55856138107417
1_1219,1,1.219e+19,6.42339514066496
1_1225,1,1.225e+19,6.3742679028133
1_1226,1,1.226e+19,6.21602941176471
1_1235,1,1.235e+19,7.94329923273657
1_1236,1,1.236e+19,8.20057544757033
1_1240,1,1.24e+19,8.20057544757033
1_1244,1,1.244e+19,8.20057544757033
1_1249,1,1.249e+19,5.95994245524297
1_1250,1,1.25e+19,6.94347826086957
1_1252,1,1.252e+19,6.37315491413957
1_1257,1,1.257e+19,5.89591432225064
1_1282,1,1.282e+19,6.33937979539642
1_1295,1,1.295e+19,5.90977621483376
1_1298,1,1.298e+19,6.01813618925832
1_1299,1,1.299e+19,5.81797953964195
1_1354,1,1.354e+19,7.2727557544757
1_1356,1,1.356e+19,7.37907928388746
1_1359,1,1.359e+19,6.20884271099744
1_1360,1,1.36e+19,6.20884271099744
1_1364,1,1.364e+19,6.32172634271099
1_1368,1,1.368e+19,6.79327365728901
1_1369,1,1.369e+19,6.79327365728901
1_1374,1,1.374e+19,6.79327365728901
1_1403,1,1.403e+19,6.09743606138108
1_1404,1,1.404e+19,8.76186061381075
1_1410,1,1.41e+19,8.76186061381075
1_1417,1,1.417e+19,7.56274296675192
1_1451,1,1.451e+19,5.27603580562659
1_1463,1,1.463e+19,5.27603580562659
1_1464,1,1.464e+19,5.27603580562659
1_1471,1,1.471e+19,5.27603580562659
1_1481,1,1.481e+19,5.27603580562659
1_1482,1,1.482e+19,5.27603580562659
1_1485,1,1.485e+19,5.27083333333333
1_1486,1,1.486e+19,5.26435421994885
1_1493,1,1.493e+19,5.26450127877238
1_1494,1,1.494e+19,5.26450127877238
1_1496,1,1.496e+19,6.23714514066496
1_1507,1,1.507e+19,6.28404571611253
1_1517,1,1.517e+19,6.08737052429668
1_1549,1,1.549e+19,5.88375319693094
1_1551,1,1.551e+19,6.30354859335038
1_1573,1,1.573e+19,7.53395460358056
1_1574,1,1.574e+19,7.77462595907928
1_1578,1,1.578e+19,7.77719948849105
1_1579,1,1.579e+19,5.68852941176471
1_1581,1,1.581e+19,5.68852941176471
1_1591,1,1.591e+19,6.45895140664962
1_1599,1,1.599e+19,6.26494245524297
1_1620,1,1.62e+19,6.26494245524297
1_1634,1,1.634e+19,6.26494245524297
1_1635,1,1.635e+19,6.26494245524297
1_1637,1,1.637e+19,6.51434143222506
1_1647,1,1.647e+19,6.04450127877238
1_1658,1,1.658e+19,3.64495524296675
1_1660,1,1.66e+19,3.64495524296675
1_1663,1,1.663e+19,3.64495524296675
1_1678,1,1.678e+19,4.62490409207161
1_1679,1,1.679e+19,5.70839727195226
1_1680,1,1.68e+19,6.81087595907929
1_1683,1,1.683e+19,7.64660485933504
1_1695,1,1.695e+19,7.64660485933504
1_1741,1,1.741e+19,6.29124040920716
1_1749,1,1.749e+19,6.46601023017903
1_1763,1,1.763e+19,6.1568989769821
1_1767,1,1.767e+19,6.1568989769821
1_1770,1,1.77e+19,6.07070332480819
1_1771,1,1.771e+19,6.86265984654732
1_1772,1,1.772e+19,6.86265984654732
1_1774,1,1.774e+19,6.86265984654732
1_1775,1,1.775e+19,6.86265984654732
1_1783,1,1.783e+19,6.86265984654732
1_1784,1,1.784e+19,6.86265984654732
1_1785,1,1.785e+19,7.26044757033248
1_1788,1,1.788e+19,7.03190537084399
1_1796,1,1.796e+19,8.54098305626599
1_1797,1,1.797e+19,8.64264705882353
1_1798,1,1.798e+19,8.64264705882353
1_1813,1,1.813e+19,8.64264705882353
1_1814,1,1.814e+19,8.64264705882353
1_1819,1,1.819e+19,8.64264705882353
1_1820,1,1.82e+19,8.64264705882353
1_1829,1,1.829e+19,8.64264705882353
1_1844,1,1.844e+19,8.64264705882353
1_1863,1,1.863e+19,6.50927109974424
1_1870,1,1.87e+19,8.3694820971867
1_1896,1,1.896e+19,6.03995524296675
1_1898,1,1.898e+19,6.80463235294118
1_1899,1,1.899e+19,6.79876598465473
1_1908,1,1.908e+19,7.32312659846548
1_1910,1,1.91e+19,6.10643222506394
1_1925,1,1.925e+19,6.97613810741688
1_1926,1,1.926e+19,6.36695652173913
1_1933,1,1.933e+19,6.85175191815857
1_1935,1,1.935e+19,6.86829603580563
1_1956,1,1.956e+19,5.91847826086957
1_1964,1,1.964e+19,7.68672634271099
1_1968,1,1.968e+19,7.40116368286445
1_1969,1,1.969e+19,9.51747442455243
1_1970,1,1.97e+19,9.35179987212276
1_1979,1,1.979e+19,6.85572250639386
1_1995,1,1.995e+19,7.45165601023018
1_1997,1,1.997e+19,7.88284526854219
1_2010,1,2.01e+19,8.96531329923273
1_2011,1,2.011e+19,8.99088874680307
1_2022,1,2.022e+19,9.56454177323103
1_2028,1,2.028e+19,8.70076726342711
1_2029,1,2.029e+19,8.67744884910486
1_2042,1,2.042e+19,6.33892583120205
1_2064,1,2.064e+19,6.2679347826087
1_2090,1,2.09e+19,6.2679347826087
1_2091,1,2.091e+19,6.2679347826087
1_2092,1,2.092e+19,6.2679347826087
1_2099,1,2.099e+19,6.2679347826087
1_2100,1,2.1e+19,6.2679347826087
1_2108,1,2.108e+19,6.2679347826087
1_2121,1,2.121e+19,6.2679347826087
1_2138,1,2.138e+19,6.2679347826087
1_2146,1,2.146e+19,6.2679347826087
1_2147,1,2.147e+19,6.2679347826087
1_2153,1,2.153e+19,6.2679347826087
1_2157,1,2.157e+19,6.2679347826087
1_2168,1,2.168e+19,6.5081905370844
1_2171,1,2.171e+19,7.15959079283887
1_2172,1,2.172e+19,7.09259590792839
1_2176,1,2.176e+19,6.00098465473146
1_2198,1,2.198e+19,6.80855924978687
1_2199,1,2.199e+19,6.70046035805627
1_2225,1,2.225e+19,6.07083120204604
1_2238,1,2.238e+19,7.80627146510778
1_2244,1,2.244e+19,7.87748721227621
1_2260,1,2.26e+19,7.87748721227621
1_2263,1,2.263e+19,7.87748721227621
1_2277,1,2.277e+19,7.87748721227621
1_2287,1,2.287e+19,7.87748721227621
1_2289,1,2.289e+19,7.87748721227621
1_2305,1,2.305e+19,6.17556905370844
1_2322,1,2.322e+19,7.13488810741687
1_2323,1,2.323e+19,5.75641943734015
1_2324,1,2.324e+19,6.25201886189259
1_2325,1,2.325e+19,6.13063938618925
1_2356,1,2.356e+19,6.29840153452685
1_2361,1,2.361e+19,5.81624680306906
1_2362,1,2.362e+19,5.81624680306906
1_2394,1,2.394e+19,6.19246163682864
1_2397,1,2.397e+19,6.32924552429668
1_2405,1,2.405e+19,6.49381713554988
1_2419,1,2.419e+19,5.74558823529412
1_2420,1,2.42e+19,5.74558823529412
1_2421,1,2.421e+19,5.74558823529412
1_2430,1,2.43e+19,5.93738491048593
1_2431,1,2.431e+19,5.9638810741688
1_2441,1,2.441e+19,6.02608695652174
1_2451,1,2.451e+19,7.00760230179028
1_2458,1,2.458e+19,7.00760230179028
1_2459,1,2.459e+19,7.06561700767264
1_2474,1,2.474e+19,5.99816496163683
1_2493,1,2.493e+19,6.58688618925831
1_2494,1,2.494e+19,6.58688618925831
1_2510,1,2.51e+19,6.58688618925831
1_2516,1,2.516e+19,6.58688618925831
1_2529,1,2.529e+19,6.02723145780051
1_2537,1,2.537e+19,7.54368286445012
1_2538,1,2.538e+19,8.25200767263427
1_2539,1,2.539e+19,8.25200767263427
1_2540,1,2.54e+19,8.25200767263427
1_2541,1,2.541e+19,6.81066496163683
1_2542,1,2.542e+19,6.81066496163683
1_2543,1,2.543e+19,6.81066496163683
1_2545,1,2.545e+19,7.27802109974425
1_2563,1,2.563e+19,7.34013427109974
1_2564,1,2.564e+19,7.34013427109974
1_2582,1,2.582e+19,7.34013427109974
1_2583,1,2.583e+19,7.34013427109974
1_2588,1,2.588e+19,7.34013427109974
1_2604,1,2.604e+19,7.34013427109974
1_2615,1,2.615e+19,7.34013427109974
1_2620,1,2.62e+19,7.34013427109974
1_2633,1,2.633e+19,7.34013427109974
1_2643,1,2.643e+19,7.34013427109974
1_2644,1,2.644e+19,7.34013427109974
1_2650,1,2.65e+19,5.9348337595908
1_2657,1,2.657e+19,5.93177749360614
1_2668,1,2.668e+19,7.87824808184143
1_2669,1,2.669e+19,7.94781969309463
1_2670,1,2.67e+19,7.94781969309463
1_2683,1,2.683e+19,7.94781969309463
1_2691,1,2.691e+19,7.94781969309463
1_2695,1,2.695e+19,6.19893861892583
1_2709,1,2.709e+19,7.89528132992327
1_2712,1,2.712e+19,6.02193094629156
1_2738,1,2.738e+19,6.51283248081842
1_2739,1,2.739e+19,6.58556265984654
1_2740,1,2.74e+19,6.58556265984654
1_2741,1,2.741e+19,6.58556265984654
1_2750,1,2.75e+19,6.58556265984654
1_2755,1,2.755e+19,7.59626598465473
1_2756,1,2.756e+19,7.59626598465473
1_2763,1,2.763e+19,7.59635421994885
1_2764,1,2.764e+19,7.59641304347826
1_2765,1,2.765e+19,7.57929028132992
1_2780,1,2.78e+19,6.85949488491049
1_2791,1,2.791e+19,6.85949488491049
1_2792,1,2.792e+19,7.54289002557545
1_2798,1,2.798e+19,7.54289002557545
1_2807,1,2.807e+19,7.54289002557545
1_2808,1,2.808e+19,7.54289002557545
1_2838,1,2.838e+19,7.54289002557545
1_2842,1,2.842e+19,7.54289002557545
1_2845,1,2.845e+19,7.54289002557545
1_2860,1,2.86e+19,8.57523657289003
1_2861,1,2.861e+19,8.58143861892583
1_2862,1,2.862e+19,8.58924552429668
1_2863,1,2.863e+19,8.39015345268542
1_2864,1,2.864e+19,8.22440856777494
1_2877,1,2.877e+19,6.94227621483376
1_2880,1,2.88e+19,6.68995524296675
1_2893,1,2.893e+19,6.27738491048593
1_2896,1,2.896e+19,6.21015345268542
1_2925,1,2.925e+19,7.69348465473146
1_2926,1,2.926e+19,7.69348465473146
1_2936,1,2.936e+19,7.69348465473146
1_2940,1,2.94e+19,7.32387468030691
1_2955,1,2.955e+19,5.74134271099744
1_2969,1,2.969e+19,6.10663043478261
1_2974,1,2.974e+19,6.10663043478261
1_2976,1,2.976e+19,6.10663043478261
1_2978,1,2.978e+19,7.28313299232736
1_3022,1,3.022e+19,6.00492327365729
1_3026,1,3.026e+19,5.97651214833759
1_3028,1,3.028e+19,6.39315217391304
1_3029,1,3.029e+19,6.06289002557545
1_3044,1,3.044e+19,6.06289002557545
1_3053,1,3.053e+19,6.06289002557545
1_3054,1,3.054e+19,6.06289002557545
1_3057,1,3.057e+19,5.25359974424553
1_3061,1,3.061e+19,5.25359974424553
